time,millis,raw_rssi,delta,alert
2026-04-24T14:30:15.790375,84602,-51,15.5,MOTION DETECTED
2026-04-24T14:30:26.965152,95763,-81,-14.5,MOTION DETECTED
2026-04-24T14:30:46.082742,114896,-78,-11.5,MOTION DETECTED
2026-04-24T14:30:57.256620,126057,-80,-13.5,MOTION DETECTED
2026-04-24T14:31:11.210749,140009,-82,-15.5,MOTION DETECTED
2026-04-24T14:31:22.367334,151171,-56,10.5,MOTION DETECTED
2026-04-24T14:31:30.743427,159542,-56,10.5,MOTION DETECTED
2026-04-24T14:32:40.106767,228902,-54,12.5,MOTION DETECTED
2026-04-24T14:33:21.964254,270758,-80,-13.5,MOTION DETECTED
2026-04-24T14:33:47.071824,295872,-50,16.5,MOTION DETECTED
2026-04-24T14:33:58.227319,307034,-54,12.5,MOTION DETECTED
2026-04-24T14:34:09.398920,318196,-55,11.5,MOTION DETECTED
