time,raw_rssi,delta
2026-04-24T14:29:06.039860,14841,-67,-0.50
2026-04-24T14:29:08.831656,17632,-61,5.50
2026-04-24T14:29:11.622260,20422,-73,-6.50
2026-04-24T14:29:14.399900,23213,-59,7.50
2026-04-24T14:29:17.202251,26003,-63,3.50
2026-04-24T14:29:19.977440,28793,-60,6.50
2026-04-24T14:29:22.773157,31584,-68,-1.50
2026-04-24T14:29:25.560526,34374,-59,7.50
2026-04-24T14:29:28.364886,37165,-64,2.50
2026-04-24T14:29:31.155538,39955,-63,3.50
2026-04-24T14:29:33.945738,42745,-59,7.50
2026-04-24T14:29:36.726247,45536,-61,5.50
2026-04-24T14:29:39.523339,48326,-60,6.50
2026-04-24T14:29:42.316535,51117,-60,6.50
2026-04-24T14:29:45.106997,53907,-64,2.50
2026-04-24T14:29:47.898407,56698,-63,3.50
2026-04-24T14:29:50.679816,59488,-59,7.50
2026-04-24T14:29:53.478324,62278,-60,6.50
2026-04-24T14:29:56.267511,65069,-61,5.50
2026-04-24T14:29:59.056600,67859,-62,4.50
2026-04-24T14:30:01.835312,70650,-63,3.50
2026-04-24T14:30:04.631834,73440,-63,3.50
2026-04-24T14:30:07.421751,76230,-66,0.50
2026-04-24T14:30:10.211212,79021,-65,1.50
2026-04-24T14:30:13.012622,81811,-64,2.50
2026-04-24T14:30:15.790375,84602,-51,15.50
2026-04-24T14:30:18.592189,87392,-58,8.50
2026-04-24T14:30:21.368695,90182,-65,1.50
2026-04-24T14:30:24.168716,92973,-70,-3.50
2026-04-24T14:30:26.965152,95763,-81,-14.50
2026-04-24T14:30:29.751376,98554,-73,-6.50
2026-04-24T14:30:32.539495,101344,-76,-9.50
2026-04-24T14:30:35.133721,103934,-73,-6.50
2026-04-24T14:30:37.917915,106725,-76,-9.50
2026-04-24T14:30:40.717773,109515,-73,-6.50
2026-04-24T14:30:43.306030,112105,-74,-7.50
2026-04-24T14:30:46.082742,114896,-78,-11.50
2026-04-24T14:30:48.887689,117686,-73,-6.50
2026-04-24T14:30:51.665506,120476,-72,-5.50
2026-04-24T14:30:54.469764,123267,-75,-8.50
2026-04-24T14:30:57.256620,126057,-80,-13.50
2026-04-24T14:31:00.049608,128848,-72,-5.50
2026-04-24T14:31:02.836210,131638,-74,-7.50
2026-04-24T14:31:05.617509,134428,-73,-6.50
2026-04-24T14:31:08.420191,137219,-75,-8.50
2026-04-24T14:31:11.210749,140009,-82,-15.50
2026-04-24T14:31:13.992653,142800,-71,-4.50
2026-04-24T14:31:16.792968,145590,-64,2.50
2026-04-24T14:31:19.583267,148380,-57,9.50
2026-04-24T14:31:22.367334,151171,-56,10.50
2026-04-24T14:31:25.164322,153961,-55,11.50
2026-04-24T14:31:27.954271,156752,-53,13.50
2026-04-24T14:31:30.743427,159542,-56,10.50
2026-04-24T14:31:33.526107,162332,-56,10.50
2026-04-24T14:31:36.320349,165123,-63,3.50
2026-04-24T14:31:39.116213,167913,-63,3.50
2026-04-24T14:31:41.698926,170504,-69,-2.50
2026-04-24T14:31:44.492870,173294,-70,-3.50
2026-04-24T14:31:47.287254,176085,-68,-1.50
2026-04-24T14:31:49.877548,178675,-64,2.50
2026-04-24T14:31:52.664350,181465,-61,5.50
2026-04-24T14:31:55.446204,184256,-65,1.50
2026-04-24T14:31:58.242920,187046,-60,6.50
2026-04-24T14:32:01.039662,189836,-60,6.50
2026-04-24T14:32:03.821040,192627,-61,5.50
2026-04-24T14:32:06.620364,195417,-60,6.50
2026-04-24T14:32:09.410107,198208,-62,4.50
2026-04-24T14:32:12.195433,200998,-61,5.50
2026-04-24T14:32:14.978243,203788,-61,5.50
2026-04-24T14:32:17.776561,206579,-61,5.50
2026-04-24T14:32:20.570282,209369,-61,5.50
2026-04-24T14:32:23.352556,212160,-64,2.50
2026-04-24T14:32:26.149192,214950,-59,7.50
2026-04-24T14:32:28.945175,217741,-64,2.50
2026-04-24T14:32:31.727136,220531,-61,5.50
2026-04-24T14:32:34.523762,223321,-63,3.50
2026-04-24T14:32:37.316244,226112,-58,8.50
2026-04-24T14:32:40.106767,228902,-54,12.50
2026-04-24T14:32:42.896909,231693,-63,3.50
2026-04-24T14:32:45.679737,234483,-63,3.50
2026-04-24T14:32:48.477311,237273,-66,0.50
2026-04-24T14:32:51.268398,240064,-65,1.50
2026-04-24T14:32:54.055503,242854,-67,-0.50
2026-04-24T14:32:56.836430,245645,-68,-1.50
2026-04-24T14:32:59.635571,248435,-62,4.50
2026-04-24T14:33:02.429430,251226,-62,4.50
2026-04-24T14:33:05.211795,254016,-71,-4.50
2026-04-24T14:33:08.009867,256806,-69,-2.50
2026-04-24T14:33:10.801498,259597,-64,2.50
2026-04-24T14:33:13.586468,262387,-69,-2.50
2026-04-24T14:33:16.383230,265177,-76,-9.50
2026-04-24T14:33:19.173087,267968,-76,-9.50
2026-04-24T14:33:21.964254,270758,-80,-13.50
2026-04-24T14:33:24.750075,273549,-76,-9.50
2026-04-24T14:33:27.540373,276339,-79,-12.50
2026-04-24T14:33:30.322935,279130,-64,2.50
2026-04-24T14:33:33.117451,281920,-68,-1.50
2026-04-24T14:33:35.916040,284710,-65,1.50
2026-04-24T14:33:38.694478,287501,-67,-0.50
2026-04-24T14:33:41.482851,290291,-65,1.50
2026-04-24T14:33:44.287937,293082,-65,1.50
2026-04-24T14:33:47.071824,295872,-50,16.50
2026-04-24T14:33:49.867526,298663,-56,10.50
2026-04-24T14:33:52.644771,301453,-54,12.50
2026-04-24T14:33:55.445848,304243,-57,9.50
2026-04-24T14:33:58.227319,307034,-54,12.50
2026-04-24T14:34:01.023732,309824,-55,11.50
2026-04-24T14:34:03.820695,312615,-55,11.50
2026-04-24T14:34:06.604179,315405,-57,9.50
2026-04-24T14:34:09.398920,318196,-55,11.50
2026-04-24T14:34:12.180342,320986,-74,-7.50
2026-04-24T14:34:14.979442,323776,-68,-1.50
2026-04-24T14:34:17.773413,326567,-67,-0.50
2026-04-24T14:34:20.564090,329357,-67,-0.50
2026-04-24T14:34:23.354802,332148,-69,-2.50
2026-04-24T14:34:26.132159,334938,-68,-1.50
2026-04-24T14:34:28.928913,337728,-71,-4.50
2026-04-24T14:34:31.711041,340519,-69,-2.50
